date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:28:51	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2018%20Jul%202025%2004:28:49%20GMT	https://www.jasidi.com/robots.txt		(from )
01:28:56	19875/19875	---MCZ	200	added ('OK')	text/html	etag:W/%22d740ba153f14a6a56e40d8c791b4d59b%22	https://www.jasidi.com/	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/index.html	(from )
01:28:58	484/484	---M-Z	200	added ('OK')	text/css	etag:W/%221e4-5Lxsfi+8j4upl8CmpKgmR8O7hpI%22	https://cdn.jsdelivr.net/gh/jgthms/minireset.css@master/minireset.min.css	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/cdn.jsdelivr.net/gh/jgthms/minireset.css@master/minireset.min.css	(from https://www.jasidi.com/)
01:28:58	776454/776454	---M--	200	added ('OK')	image/png	etag:%2257bb457dcb6a7d31ada1659f9561c437%22	https://www.jasidi.com/assets/about-us-4b196e80.png	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/about-us-4b196e80.png	(from https://www.jasidi.com/)
01:28:59	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://www.jasidi.com/)
01:29:01	4039/4039	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b4c080f725a8b4f85cd632962738d401%22	https://www.jasidi.com/assets/index-eeb76bf3.js	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/index-eeb76bf3.js	(from https://www.jasidi.com/)
01:29:02	12792/12792	---MCZ	200	added ('OK')	text/css	etag:W/%2219e20e53513dc325d27f692fd57f9b95%22	https://www.jasidi.com/assets/index-8469259e.css	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/index-8469259e.css	(from https://www.jasidi.com/)
01:29:02	13861/13861	---M--	200	added ('OK')	image/png	etag:%22551ac212e5228bf70fdcd9041e9fbc99%22	https://www.jasidi.com/assets/logo-jasidi-a3e3e1e5.png	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/logo-jasidi-a3e3e1e5.png	(from https://www.jasidi.com/)
01:29:03	1625/1625	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b64dda1ee169953de94dfd542e099477%22	https://www.jasidi.com/assets/icon-close-545855ff.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/icon-close-545855ff.svg	(from https://www.jasidi.com/)
01:29:04	262/262	---M--	200	added ('OK')	image/svg+xml	etag:%220435f16dc3c81aa6b3cd698589e0cf43%22	https://www.jasidi.com/assets/icon-hamburger-9a9015b5.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/icon-hamburger-9a9015b5.svg	(from https://www.jasidi.com/)
01:29:07	720/720	---M--	200	added ('OK')	image/svg+xml	etag:%222766463b38866ca71e30124087733098%22	https://www.jasidi.com/assets/icon-button-arrow-f4b6f741.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/icon-button-arrow-f4b6f741.svg	(from https://www.jasidi.com/)
01:29:11	14775/14775	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2240a30b95c0455f29e1ebb3b296853f81%22	https://www.jasidi.com/assets/web-page-desktop-7a35d15e.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/web-page-desktop-7a35d15e.svg	(from https://www.jasidi.com/)
01:29:12	12860/12860	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225d6e346f07d5b4508dffb781883eac6e%22	https://www.jasidi.com/assets/web-app-desktop-d7eb1a63.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/web-app-desktop-d7eb1a63.svg	(from https://www.jasidi.com/)
01:29:13	721/721	---M--	200	added ('OK')	image/svg+xml	etag:%2297f1c01b95d52d9ee48f9ea25d61672f%22	https://www.jasidi.com/assets/icon-check-662f4ea8.svg	C:/Users/Juan%20Carlos/Desktop/MEZCLADITO%20Para%20usb/mi%20web/www.jasidi.com/assets/icon-check-662f4ea8.svg	(from https://www.jasidi.com/)
